compoundName	iupacName	cas	kegg	hmdb	pubchem	chebi	foodb	lipidmaps	molecularFormula	molecularWeight	afc_id	original_smiles	inchikey	Canonical_Smiles	contains_sugars	contains_ring_sugars	contains_linear_sugars	number_of_carbons	number_of_nitrogens	number_of_oxygens	number_of_rings	max_number_of_rings	min_number_of_rings	sugar_free_heavy_atom_number	sugar_free_total_atom_number	total_atom_number	bond_count	murko_framework	ertlFunctionalFragments	ertlFunctionalFragmentsPseudoSmiles	alogp	alogp2	amralogp	apol	bpol	eccentricConnectivityIndexDescriptor	fmfDescriptor	fsp3	fragmentComplexityDescriptor	numberSpiroAtoms	lipinskiRuleOf5Failures	xlogp	zagrebIndex	topoPSA	tpsaEfficiency
3-mercaptopyruvate		2464-23-5	C00957	HMDB0001368	98	16208	FDB030434		C3H4O3S	120.12827048141335	AFC000013	C(C(=O)C(=O)O)S	OJOLFAIGOXZBCI-UHFFFAOYSA-N	C([H])([H])(C(=O)C(=O)O[H])S[H]	0	false	false	3	0	3	null	0	0	null	null	null	6	null	{*C(=O)C(=O)O[H]=1, *S[H]=1}	{RS[H]=1, RC(=O)C(=O)O[H]=1}	0.019000000000000017	3.6100000000000064E-4	25.9691	13.253172000000001	8.568828	36	0.0	0.3333333333333333	58.04	0	0	-0.2820000000000002	26.0	93.17	0.7764935719618391
3-methylcrotonyl-CoA			C03069	HMDB0001493	99	15486	FDB022652		C26H42N7O17P3S	849.6368210781402	AFC000014	CC(=CC(=O)SCCNC(=O)CCNC(=O)C(C(C)(C)COP(=O)(O)OP(=O)(O)OCC1C(C(C(O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)(O)O)O)C	BXIPALATIYNHJN-UHFFFAOYSA-N	C([H])([H])([H])C(=C([H])C(=O)SC([H])([H])C([H])([H])N([H])C(=O)C([H])([H])C([H])([H])N([H])C(=O)C([H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])OP(=O)(O[H])OP(=O)(O[H])OC([H])([H])C1([H])C([H])(C([H])(C([H])(N2C([H])=NC3=C2N=C([H])N=C3N([H])[H])O1)O[H])OP(=O)(O[H])O[H])O[H])C([H])([H])[H]	0	false	false	26	7	17	null	4	3	null	null	null	56	n1cnc2c(ncn2C3OCCC3)c1	{*O*=1, *SC(=O)[C]=[C]=1, [H]N([H])[c]=1, *C(=O)N(*)*=2, *n(*)*=4, *OP(=O)(OP(=O)(O*)O[H])O[H]=1, *OP(=O)(O[H])O[H]=1, [H]O[C]=2}	{ROR=1, RN*(R)R=4, ROP(=O)(OP(=O)(OR)O[H])O[H]=1, ROP(=O)(O[H])O[H]=1, [H]N([H])[C*]=1, RC(=O)N(R)R=2, RSC(=O)[C]=[C]=1, [H]O[C]=2}	-3.8691000000000004	14.969934810000003	187.76979999999998	108.88930599999998	92.56269400000008	2511	0.14583333333333334	0.6153846153846154	6742.28	0	4	-6.145999999999999	278.0	415.0800000000001	0.4888141579686959
3-ureidopropionate		462-88-4	C02642	HMDB0000026	111	18261	FDB030466		C4H8N2O3	132.11809081453848	AFC000015	C(CNC(=O)N)C(=O)O	JSJWCHRYRHKBBW-UHFFFAOYSA-N	C([H])([H])(C([H])([H])N([H])C(=O)N([H])[H])C(=O)O[H]	0	false	false	4	2	3	null	0	0	null	null	null	8	null	{*N(*)C(=O)N(*)*=1, *C(=O)O[H]=1}	{RN(R)C(=O)N(R)R=1, RC(=O)O[H]=1}	-1.1319	1.2811976099999998	28.823299999999996	16.980344	10.661655999999997	76	0.0	0.5	184.05	0	0	-1.6280000000000001	34.0	92.42	0.6998678983726937
4-aminobutyrate		56-12-2	C00334	HMDB0000112	119	16865	FDB008937		C4H9NO2	103.11992343375894	AFC000016	C(CC(=O)O)CN	BTCSSZJGUNDROE-UHFFFAOYSA-N	C([H])([H])(C([H])([H])C(=O)O[H])C([H])([H])N([H])[H]	0	false	false	4	1	2	null	0	0	null	null	null	6	null	{*C(=O)O[H]=1, [H]N([H])[C]=1}	{RC(=O)O[H]=1, [H]N([H])[C]=1}	-0.6220999999999997	0.3870084099999996	25.4574	15.745137000000001	10.136862999999998	47	0.0	0.75	183.03	0	0	-0.6680000000000001	24.0	63.31999999999999	0.6143795363915242
4-guanidinobutyramide		4210-97-3			123	18062			C5H12N4O	144.17518628556275	AFC000017	C(CC(=O)N)CN=C(N)N	YHVFECVVGNXFKO-UHFFFAOYSA-N	C([H])([H])(C([H])([H])C(=O)N([H])[H])C([H])([H])N=C(N([H])[H])N([H])[H]	0	false	false	5	4	1	null	0	0	null	null	null	9	null	{*C(=O)N(*)*=1, *N=C(N(*)*)N(*)*=1}	{RC(=O)N(R)R=1, RN=C(N(R)R)N(R)R=1}	-1.3583	1.8449788900000001	37.4572	22.003515999999983	13.416483999999995	100	0.0	0.6	351.05	0	0	-1.6740000000000002	38.0	107.49	0.7459345681034775
4-hydroxybenzaldehyde		123-08-0	C00633	HMDB0011718	126	17597	FDB010504		C7H6O2	122.12160565560957	AFC000018	C1=CC(=CC=C1C=O)O	RGHHSNMVTDWUBI-UHFFFAOYSA-N	C1([H])=C(C([H])=C([H])C(=C1[H])O[H])C([H])=O	0	false	false	7	0	2	null	1	1	null	null	null	9	c1ccccc1	{[H]O[c]=1, *[C]=O=1}	{[H]O[C*]=1, R[C]=O=1}	0.4523	0.20457529	37.6351	17.924757999999997	7.5172419999999995	77	0.4	0.0	153.02	0	0	0.349	40.0	37.3	0.3056455617200542
4-hydroxybenzoic acid		99-96-7	C00156	HMDB0000500	135	30763	FDB010508		C7H6O3	138.12101058317887	AFC000019	C1=CC(=CC=C1C(=O)O)O	FJKROLUGYXJWQN-UHFFFAOYSA-N	C1([H])=C(C([H])=C([H])C(=C1[H])O[H])C(=O)O[H]	0	false	false	7	0	3	null	1	1	null	null	null	10	c1ccccc1	{*C(=O)O[H]=1, [H]O[c]=1}	{[H]O[C*]=1, RC(=O)O[H]=1}	0.40489999999999987	0.1639440099999999	38.5605	18.726757999999993	7.5172419999999995	88	0.375	0.0	166.03	0	0	0.26799999999999996	46.0	57.53	0.4167883354262609
5-amino-levulinate		106-60-5	C00430	HMDB0001149	137	17549	FDB022452		C5H9NO3	131.1300642581163	AFC000020	C(CC(=O)O)C(=O)CN	ZGXJTSGNIOSYLO-UHFFFAOYSA-N	C([H])([H])(C([H])([H])C(=O)O[H])C(=O)C([H])([H])N([H])[H]	0	false	false	5	1	3	null	0	0	null	null	null	8	null	{*C(*)=O=1, *C(=O)O[H]=1, [H]N([H])[C]=1}	{RC(R)=O=1, RC(=O)O[H]=1, [H]N([H])[C]=1}	-1.1722999999999995	1.3742872899999987	30.597999999999995	18.307136999999994	11.094862999999997	74	0.0	0.6	217.04	0	0	-1.549	34.0	80.39	0.6133914057524643
acetoin		51555-24-9	C00466	HMDB0003243	179	15688	FDB011799		C4H8O2	88.10527947289715	AFC000024	CC(C(=O)C)O	ROWKJAVDOGWPAT-UHFFFAOYSA-N	C([H])([H])([H])C([H])(C(=O)C([H])([H])[H])O[H]	0	false	false	4	0	2	null	0	0	null	null	null	5	null	{*C(*)=O=1, [H]O[C]=1}	{RC(R)=O=1, [H]O[C]=1}	-0.32510000000000006	0.10569001000000004	22.465400000000002	13.978344000000002	9.703655999999997	24	0.0	0.75	139.02	0	0	-0.326	22.0	37.3	0.42361125313066395
adenine		73-24-5	C00147	HMDB0000034	190	16708	FDB012266		C5H5N5	135.1268992882489	AFC000026	C1=NC2=NC=NC(=C2N1)N	GFFGJBXGBJISGV-UHFFFAOYSA-N	C1([H])=NC2=NC([H])=NC(=C2N1[H])N([H])[H]	0	false	false	5	5	0	null	3	2	null	null	null	11	n1cnc2nc[nH]c2c1	{[H]N([H])[c]=1, *n(*)*=4}	{RN*(R)R=4, [H]N([H])[C*]=1}	-1.3681999999999999	1.8719712399999997	36.5098	17.633964999999996	9.426034999999999	79	0.6	0.0	166.05	0	0	-1.287	52.0	75.13	0.5562939605304731
allantoin		97-59-6	C01551	HMDB0000462	204	15676	FDB001613		C4H6N4O3	158.11561572095886	AFC000027	C1(C(=O)NC(=O)N1)NC(=O)N	POJWUDADGALRAB-UHFFFAOYSA-N	C1([H])(C(=O)N([H])C(=O)N1[H])N([H])C(=O)N([H])[H]	0	false	false	4	4	3	null	1	1	null	null	null	11	N1CNCC1	{*N(*)C(=O)N(*)[C]1C(=O)N(*)C(=O)N1*=1}	{RN(R)C(=O)N(R)[C]1C(=O)N(R)C(=O)N1R=1}	-1.7647	3.11416609	32.0042	17.846757999999994	10.753241999999998	100	0.29411764705882354	0.25	179.07	0	0	-1.1690000000000005	52.0	113.32000000000001	0.7170155597989851
6-O-phosphonohexopyranose		3672-15-9	C02965	HMDB0001401	208	61667	FDB021818		C6H13O9P	260.13605115858775	AFC000029	C(C1C(C(C(C(O1)O)O)O)O)OP(=O)(O)O	NBSCHQHZLSJFNQ-UHFFFAOYSA-N	C([H])([H])(C1([H])C([H])(C([H])(C([H])(C([H])(O[H])O1)O[H])O[H])O[H])OP(=O)(O[H])O[H]	0	false	false	6	0	9	null	1	1	null	null	null	16	O1CCCCC1	{[H]O[C]=3, *OP(=O)(O[H])O[H]=1, *O[C]O[H]=1}	{RO[C]O[H]=1, ROP(=O)(O[H])O[H]=1, [H]O[C]=3}	-3.3237	11.04698169	47.0652	30.076308999999977	26.481691000000005	196	0.20689655172413793	1.0	601.1	0	1	-3.3549999999999995	80.0	166.72	0.6411574833867079
4-amino-2-methyl-5-phosphomethylpyrimidine			C04556		216	18032	FDB030485		C6H10N3O4P	219.1353138803714	AFC000030	CC1=NC=C(C(=N1)N)COP(=O)(O)O	PKYFHKIYHBRTPI-UHFFFAOYSA-N	C([H])([H])([H])C1=NC(=C(C([H])=N1)C([H])([H])OP(=O)(O[H])O[H])N([H])[H]	0	false	false	6	3	4	null	1	1	null	null	null	14	n1cnccc1	{[H]N([H])[c]=1, *n(*)*=2, *OP(=O)(O[H])O[H]=1}	{RN*(R)R=2, ROP(=O)(O[H])O[H]=1, [H]N([H])[C*]=1}	-1.7170000000000005	2.9480890000000017	48.95400000000001	27.365929999999985	23.26607	170	0.25	0.3333333333333333	394.08	0	0	-2.7670000000000003	68.0	127.31	0.5812156743320661
4-amino-2-methyl-5-diphosphomethylpyrimidine		841-01-0	C04752		217	16629	FDB030484		C6H11N3O7P2	299.1152310469054	AFC000031	CC1=NC=C(C(=N1)N)COP(=O)(O)OP(=O)(O)O	AGQJQCFEPUVXNK-UHFFFAOYSA-N	C([H])([H])([H])C1=NC(=C(C([H])=N1)C([H])([H])OP(=O)(O[H])OP(=O)(O[H])O[H])N([H])[H]	0	false	false	6	3	7	null	1	1	null	null	null	18	n1cnccc1	{[H]N([H])[c]=1, *n(*)*=2, *OP(=O)(OP(=O)(O[H])O[H])O[H]=1}	{RN*(R)R=2, [H]N([H])[C*]=1, ROP(=O)(OP(=O)(O[H])O[H])O[H]=1}	-2.5273000000000003	6.387245290000002	60.095800000000004	34.068722999999984	34.713277000000005	278	0.20689655172413793	0.3333333333333333	535.12	0	0	-3.9960000000000004	90.0	183.65	0.6141992095939481
anthranilate		118-92-3	C00108	HMDB0001123	227	30754	FDB000896		C7H7NO2	137.13624961647125	AFC000034	C1=CC=C(C(=C1)C(=O)O)N	RWZYAGGXGHYGMB-UHFFFAOYSA-N	C1([H])=C([H])C(=C(C([H])=C1[H])N([H])[H])C(=O)O[H]	0	false	false	7	1	2	null	1	1	null	null	null	10	c1ccccc1	{*C(=O)O[H]=1, [H]N([H])[c]=1}	{RC(=O)O[H]=1, [H]N([H])[C*]=1}	-0.22870000000000007	0.052303690000000035	40.5048	19.69155099999999	7.950449	76	0.35294117647058826	0.0	199.03	0	0	0.49699999999999994	46.0	63.32000000000001	0.46202898662477565
pentose		87-72-9			229	25901	FDB005965		C5H10O5	150.13011166004478	AFC000035	C1C(C(C(C(O1)O)O)O)O	SRBFZHDQGSBBOR-UHFFFAOYSA-N	C1([H])([H])C([H])(C([H])(C([H])(C([H])(O[H])O1)O[H])O[H])O[H]	0	false	false	5	0	5	null	1	1	null	null	null	10	O1CCCCC1	{[H]O[C]=3, *O[C]O[H]=1}	{RO[C]O[H]=1, [H]O[C]=3}	-2.0027	4.01080729	29.9609	19.47792999999999	12.848069999999996	76	0.3	1.0	310.05	0	0	-1.4540000000000002	48.0	90.15	0.6007884286700081
beta-alanine		107-95-9	C00099	HMDB0000056	239	16958	FDB002253		C3H7NO2	89.09330602931935	AFC000038	C(CN)C(=O)O	UCMIRNVEIXFBKS-UHFFFAOYSA-N	C([H])([H])(C([H])([H])N([H])[H])C(=O)O[H]	0	false	false	3	1	2	null	0	0	null	null	null	5	null	{*C(=O)O[H]=1, [H]N([H])[C]=1}	{RC(=O)O[H]=1, [H]N([H])[C]=1}	-0.9433000000000002	0.8898148900000005	20.7028	12.651551000000001	7.950449	31	0.0	0.6666666666666666	114.03	0	0	-1.026	20.0	63.32000000000001	0.7110797394409207
benzaldehyde	null	100-52-7	C00261	HMDB0006115	240	17169	FDB014661		C7H6O	106.12220072804017	AFC000039	C1=CC=C(C=C1)C=O	HUMNYLRZRPPJDN-UHFFFAOYSA-N	C1([H])=C([H])C([H])=C(C([H])=C1[H])C([H])=O	0	false	false	7	0	1	null	1	1	null	null	null	8	c1ccccc1	{*[C]=O=1}	{R[C]=O=1}	1.0154	1.0310371600000001	36.0296	17.122757999999997	7.5172419999999995	60	0.42857142857142855	0.0	140.01	0	0	1.0630000000000002	34.0	17.07	0.16097415893489936
benzoate		766-76-7	C00180	HMDB0001870	242	16150	FDB030689		[C7H5O2]-	121.11366490178378	AFC000040	C1=CC=C(C=C1)C(=O)[O-]	WPYMKLBDIGXBTP-UHFFFAOYSA-M	C1([H])=C([H])C([H])=C(C([H])=C1[H])C(=O)[O-]	0	false	false	7	0	2	null	1	1	null	null	null	9	c1ccccc1	{*C(=O)O[H]=1}	{RC(=O)O[H]=1}	0.2902	0.08421604	34.6772	17.257965	7.382034999999998	69	0.42857142857142855	0.0	124.02	0	0	0.5010000000000001	40.0	40.129999999999995	0.3315735494778429
benzyl alcohol	null	100-51-6	C03485	HMDB0003119	244	17987	FDB008745		C7H8O	108.13808223569175	AFC000041	C1=CC=C(C=C1)CO	WVDDGKGOMKODPV-UHFFFAOYSA-N	C1([H])=C([H])C([H])=C(C([H])=C1[H])C([H])([H])O[H]	0	false	false	7	0	1	null	1	1	null	null	null	8	c1ccccc1	{[H]O[C]=1}	{[H]O[C]=1}	0.7591000000000008	0.5762328100000011	37.012499999999996	18.456343999999994	8.745655999999999	60	0.375	0.14285714285714285	200.01	0	0	0.5930000000000002	34.0	20.23	0.18721511431402688
betaine		107-43-7	C00719	HMDB0000043	247	17750	FDB009020		C5H11NO2	117.14654083819852	AFC000042	C[N+](C)(C)CC(=O)[O-]	KWIUHFFTVRNATP-UHFFFAOYSA-N	C([H])([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])C(=O)[O-]	0	false	false	5	1	2	null	0	0	null	null	null	7	null	{*C(=O)O[H]=1, *[N](*)(*)*=1}	{R[N](R)(R)R=1, RC(=O)O[H]=1}	-2.0429999999999997	4.173848999999999	26.7438	18.838722999999995	16.581276999999996	45	0.0	0.8	268.03	0	0	-1.227	34.0	40.129999999999995	0.34276007941482056
betaine aldehyde		7418-61-3	C00576	HMDB0001252	249	15710	FDB022513		[C5H12NO]+	102.15507666445491	AFC000043	C[N+](C)(C)CC=O	SXKNCCSPZDCRFD-UHFFFAOYSA-N	C([H])([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])=O	0	false	false	5	1	1	null	0	0	null	null	null	6	null	{*[C]=O=1, *[N](*)(*)*=1}	{R[N](R)(R)R=1, R[C]=O=1}	-1.3177999999999994	1.7365968399999985	28.096200000000003	18.703515999999993	16.716483999999998	38	0.0	0.8	282.02	0	0	-0.332	28.0	17.07	0.16720231319582296
cadaverine		462-94-2	C01672	HMDB0002322	273	18127	FDB001493		C5H14N2	102.17825645157309	AFC000047	C(CCN)CCN	VHRGRCVQAFMJIZ-UHFFFAOYSA-N	C([H])([H])(C([H])([H])C([H])([H])N([H])[H])C([H])([H])C([H])([H])N([H])[H]	0	false	false	5	2	0	null	0	0	null	null	null	6	null	{[H]N([H])[C]=2}	{[H]N([H])[C]=2}	-0.37799999999999967	0.14288399999999976	31.9788	20.335101999999992	13.984897999999996	54	0.0	1.0	358.02	0	0	-0.2680000000000001	22.0	52.04	0.509618019471317
carbamoyl-phosphate		590-55-6	C00169	HMDB0001096	278	17672	FDB022424		CH4NO5P	141.01998838697412	AFC000049	C(=O)(N)OP(=O)(O)O	FFQKYPRQEYGKAF-UHFFFAOYSA-N	C(=O)(N([H])[H])OP(=O)(O[H])O[H]	0	false	false	1	1	5	null	0	0	null	null	null	7	null	{*N(*)C(=O)OP(=O)(O[H])O[H]=1}	{RN(R)C(=O)OP(=O)(O[H])O[H]=1}	-1.4077000000000002	1.9816192900000005	22.4801	13.167172	15.024827999999996	45	0.0	0.0	65.07	0	0	-2.3850000000000002	34.0	119.66000000000003	0.8487565671654349
catechol		120-80-9	C00090	HMDB0000957	289	18135	FDB001512		C6H6O2	110.11086975882156	AFC000054	C1=CC=C(C(=C1)O)O	YCIMNLLNPGFGHC-UHFFFAOYSA-N	C1([H])=C([H])C(=C(C([H])=C1[H])O[H])O[H]	0	false	false	6	0	2	null	1	1	null	null	null	8	c1ccccc1	{[H]O[c]=2}	{[H]O[C*]=2}	0.27719999999999984	0.07683983999999991	34.1668	16.164758	6.559241999999999	54	0.42857142857142855	0.0	140.02	0	0	0.815	36.0	40.46	0.3676952397993734
choline		62-49-7	C00114	HMDB0000097	305	15354	FDB000710		[C5H14NO]+	104.1709581721065	AFC000055	C[N+](C)(C)CCO	OEYIOHPDSNJKLS-UHFFFAOYSA-N	C([H])([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])O[H]	0	false	false	5	1	1	null	0	0	null	null	null	6	null	{[H]O[C]=1, *[N](*)(*)*=1}	{R[N](R)(R)R=1, [H]O[C]=1}	-1.5741	2.47779081	29.0791	20.03710199999999	17.944898	38	0.0	1.0	358.02	0	0	-0.837	28.0	20.23	0.1943182999147291
citrate		77-92-9	C00158	HMDB0000094	311	30769	FDB012586		C6H8O7	192.12377590432004	AFC000056	C(C(=O)O)C(CC(=O)O)(C(=O)O)O	KRKNYBCHXYNGOX-UHFFFAOYSA-N	C([H])([H])(C(=O)O[H])C(C([H])([H])C(=O)O[H])(C(=O)O[H])O[H]	0	false	false	6	0	7	null	0	0	null	null	null	12	null	{*C(=O)O[H]=3, [H]O[C]=1}	{RC(=O)O[H]=3, [H]O[C]=1}	-1.395	1.9460250000000001	35.6239	21.508343999999987	11.619655999999997	108	0.0	0.5	244.07	0	0	-2.247	58.0	132.13	0.6880803127359355
