compoundName	iupacName	cas	kegg	hmdb	pubchem	chebi	foodb	lipidmaps	molecularFormula	molecularWeight	afc_id	original_smiles	inchikey	Canonical_Smiles	contains_sugars	contains_ring_sugars	contains_linear_sugars	number_of_carbons	number_of_nitrogens	number_of_oxygens	number_of_rings	max_number_of_rings	min_number_of_rings	sugar_free_heavy_atom_number	sugar_free_total_atom_number	total_atom_number	bond_count	murko_framework	ertlFunctionalFragments	ertlFunctionalFragmentsPseudoSmiles	alogp	alogp2	amralogp	apol	bpol	eccentricConnectivityIndexDescriptor	fmfDescriptor	fsp3	fragmentComplexityDescriptor	numberSpiroAtoms	lipinskiRuleOf5Failures	xlogp	zagrebIndex	topoPSA	tpsaEfficiency
"(2R,3R,4S,5R,6R)-2-(hydroxymethyl)-6-[(4-hydroxyphenyl)methoxy]oxane-3,4,5-triol"			no entry found	no entry found	49871128	no entry found	no entry found	no entry found	C13H18O7	286.27833472009400	AFC001799	OC[C@H]1O[C@@H](OCc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@H]1O	WGBHVCJJFIVFAL-UHFFFAOYSA-N	C1([H])=C(C([H])=C([H])C(=C1[H])O[H])C([H])([H])O[C@@]2([H])[C@@]([H])([C@]([H])([C@]([H])([C@@]([H])(C([H])([H])O[H])O2)O[H])O[H])O[H]	0	FALSE	FALSE	13	0	7	null	2	2	null	null	null	21	O(Cc1ccccc1)C2OCCCC2	"{[H]O[c]=1, [H]O[C]=4, *O[C]O*=1}"	"{[H]O[C*]=1, RO[C]OR=1, [H]O[C]=4}"	-1.5509000000000000	2.405290810000000	71.03130000000000	40.49627400000000	23.509726	360	0.3684210526315790	0.5384615384615380	1141.07	0	0	-1.229	100.0	119.61000000000000	0.41806292887295300
"(2R,3R,4S,5R,6R)-2-(benzyloxy)-6-(hydroxymethyl)oxane-3,4,5-triol"	"2-(hydroxymethyl)-6-phenylmethoxyoxane-3,4,5-triol"	15548-45-5	no entry found	no entry found	4984739	no entry found	no entry found	no entry found	C13H18O6	270.2789297925240	AFC001800	OC[C@H]1O[C@@H](OCc2ccccc2)[C@H](O)[C@@H](O)[C@H]1O	GKHCBYYBLTXYEV-UHFFFAOYSA-N	C1([H])=C([H])C([H])=C(C([H])=C1[H])C([H])([H])O[C@@]2([H])[C@@]([H])([C@]([H])([C@]([H])([C@@]([H])(C([H])([H])O[H])O2)O[H])O[H])O[H]	0	FALSE	FALSE	13	0	6	null	2	2	null	null	null	20	O(Cc1ccccc1)C2OCCCC2	"{[H]O[C]=4, *O[C]O*=1}"	"{RO[C]OR=1, [H]O[C]=4}"	-0.9877999999999990	0.9757488399999980	69.42580000000000	39.69427400000000	23.509726	314	0.3783783783783780	0.5384615384615380	1102.06	0	0	-0.5150000000000000	94.0	99.38000000000000	0.36792371823656200
"(3E,6S)-6-[(1R,2R,3aS,3bS,4R,9aR,9bS,11aR)-2,4-dihydroxy-3a,6,6,9b,11a-pentamethyl-7,10-dioxo-8-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-1H,2H,3H,3bH,4H,9aH,11H-cyclopenta[a]phenanthren-1-yl]-6-hydroxy-2-methyl-5-oxohept-3-en-2-yl acetate"									C38H54O14	734.8284337705070	AFC001801	CC(=O)OC(C)(C)/C=C/C(=O)[C@@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3[C@H](O)C=C4[C@@H](C=C(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C	VJTYFWONTVLZJR-UHFFFAOYSA-N	C([H])([H])([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])/C(/[H])=C(\[H])/C(=O)[C@](C([H])([H])[H])([C@@]1([H])[C@@]([H])(C([H])([H])[C@@]2(C([H])([H])[H])[C@]3([H])[C@@]([H])(C([H])=C4[C@@]([H])(C([H])=C(C(=O)C4(C([H])([H])[H])C([H])([H])[H])O[C@@]5([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O5)O[H])O[H])O[H])[C@]3(C([H])([H])[H])C(=O)C([H])([H])[C@]12C([H])([H])[H])O[H])O[H])O[H]	0	FALSE	FALSE	38	0	14	null	11	5	null	null	null	56	O(C1=CC2C(=CCC3C2CCC4CCCC43)CC1)C5OCCCC5	"{[C]=[C]=1, *C(*)=O=1, *C(=O)[C]=[C]=1, *OC(*)=O=1, [H]O[C]=7, *O[C]OC(=[C])C(*)=O=1}"	"{[C]=[C]=1, RC(R)=O=1, RC(=O)[C]=[C]=1, [H]O[C]=7, RO[C]OC(=[C])C(R)=O=1, ROC(R)=O=1}"	-1.0314000000000000	1.0637859600000000	186.53630000000000	114.11482200000000	68.61317800000000	1711	0.22641509433962300	0.7368421052631580	9448.14	0	3	0.48299999999999900	300.0	237.58000000000000	0.3235236075032210
"(1S,2S,4R,6S,8S,9R,10R,13R,14R)-16-{[(2S,3R,4S,5S,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-{[(2S,3R,4R,5R,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxy}oxan-2-yl]oxy}-8-hydroxy-6-[(1E)-3-hydroxy-2-methylprop-1-en-1-yl]-2,8,10,13,18,18-hexamethyl-5-oxapentacyclo[11.8.0.0²,¹⁰.0⁴,⁹.0¹⁴,¹⁹]henicosa-15,19-diene-12,17-dione"									C42H62O15	806.9343083158350	AFC001802	C/C(=C\[C@@H]1C[C@](C)(O)[C@H]2[C@@H](C[C@@]3(C)[C@@H]4CC=C5[C@@H](C=C(O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O[C@@H]6O[C@@H](C)[C@H](O)[C@@H](O)[C@H]6O)C(=O)C5(C)C)[C@]4(C)C(=O)C[C@]23C)O1)CO	BEQDSDZQSKPXIG-UHFFFAOYSA-N	C([H])([H])([H])/C(=C(/[H])\[C@]1([H])C([H])([H])[C@@](C([H])([H])[H])([C@@]2([H])[C@@]([H])(C([H])([H])[C@@]3(C([H])([H])[H])[C@]4([H])C([H])([H])C([H])=C5[C@@]([H])(C([H])=C(C(=O)C5(C([H])([H])[H])C([H])([H])[H])O[C@@]6([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O6)O[H])O[H])O[C@@]7([H])[C@@]([H])([C@@]([H])([C@]([H])([C@]([H])(C([H])([H])[H])O7)O[H])O[H])O[H])[C@]4(C([H])([H])[H])C(=O)C([H])([H])[C@]23C([H])([H])[H])O1)O[H])/C([H])([H])O[H]	0	FALSE	FALSE	42	0	15	null	16	7	null	null	null	63	O(C1=CC2C(=CCC3C2CCC4C5CCCOC5CC34)CC1)C6OCCCC6OC7OCCCC7	"{[C]=[C]=2, *C(*)=O=1, *O*=1, [H]O[C]=8, *O[C]O*=1, *O[C]OC(=[C])C(*)=O=1}"	"{[C]=[C]=2, ROR=1, RO[C]OR=1, RC(R)=O=1, [H]O[C]=8, RO[C]OC(=[C])C(R)=O=1}"	-0.7889000000000020	0.6223632100000030	204.01350000000000	127.29116600000000	79.27483400000000	2039	0.29411764705882400	0.8095238095238100	12433.15	0	3	0.5709999999999980	334.0	242.13000000000000	0.3002571135092660
"(1R,2R,3aS,3bS,9aR,9bR,11aR)-2-hydroxy-3a,6,6,9b,11a-pentamethyl-8-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-1-[(2R,5R)-2,5,6-trihydroxy-6-methyl-3-oxoheptan-2-yl]-1H,2H,3H,3bH,4H,9aH,11H-cyclopenta[a]phenanthrene-7,10-dione"									C36H54O13	694.8075570493620	AFC001803	CC1(C)C(=O)C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)=C[C@@H]2C1=CC[C@H]1[C@]3(C)C[C@@H](O)[C@H]([C@@](C)(O)C(=O)C[C@@H](O)C(C)(C)O)[C@@]3(C)CC(=O)[C@]12C	XPEAYHKXEWXAKV-UHFFFAOYSA-N	C([H])([H])([H])C1(C([H])([H])[H])C2=C([H])C([H])([H])[C@@]3([H])[C@]4(C([H])([H])[H])C([H])([H])[C@]([H])([C@@]([H])([C@@]4(C([H])([H])[H])C([H])([H])C(=O)[C@@]3(C([H])([H])[H])[C@]2([H])C([H])=C(C1=O)O[C@@]5([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O5)O[H])O[H])O[H])[C@](C([H])([H])[H])(C(=O)C([H])([H])[C@]([H])(C(C([H])([H])[H])(C([H])([H])[H])O[H])O[H])O[H])O[H]	0	FALSE	FALSE	36	0	13	null	11	5	null	null	null	53	O(C1=CC2C(=CCC3C2CCC4CCCC43)CC1)C5OCCCC5	"{[C]=[C]=1, *C(*)=O=2, [H]O[C]=8, *O[C]OC(=[C])C(*)=O=1}"	"{[C]=[C]=1, RC(R)=O=2, [H]O[C]=8, RO[C]OC(=[C])C(R)=O=1}"	-1.319800000000010	1.7418720400000100	176.13960000000000	109.79282200000000	65.73917800000000	1485	0.23300970873786400	0.8055555555555560	9097.13	0	3	0.05399999999999950	286.0	231.51000000000000	0.33341665183353200
"4-{[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}benzaldehyde"	helicid		no entry found	no entry found	3303383	no entry found	no entry found	no entry found	C13H16O7	284.26245321244200	AFC001804	O=Cc1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@@H](O)[C@H]2O)cc1	OLZAGZCCJJBKNZ-UHFFFAOYSA-N	C1([H])=C(C([H])=C([H])C(=C1[H])O[C@@]2([H])[C@@]([H])([C@@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O2)O[H])O[H])O[H])C([H])=O	0	FALSE	FALSE	13	0	7	null	2	2	null	null	null	21	O(c1ccccc1)C2OCCCC2	"{*[C]=O=1, [H]O[C]=4, *O[C]O*=1}"	"{R[C]=O=1, RO[C]OR=1, [H]O[C]=4}"	-1.6386000000000000	2.6850099600000000	70.3352	39.16268800000000	22.281312	354	0.3611111111111110	0.46153846153846200	989.07	0	0	-0.9570000000000000	100.0	116.45000000000000	0.4099058847312550
"(1R,2R,3aS,3bS,9aR,9bR,11aR)-2-hydroxy-3a,6,6,9b,11a-pentamethyl-8-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-1-[(2R,3R,4E)-2,3,6-trihydroxy-6-methylhept-4-en-2-yl]-1H,2H,3H,3bH,4H,9aH,11H-cyclopenta[a]phenanthrene-7,10-dione"									C36H54O12	678.8081521217920	AFC001805	CC(C)(O)/C=C/[C@@H](O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C	MNDSHGJSXPOSMP-UHFFFAOYSA-N	C([H])([H])([H])C(C([H])([H])[H])(/C(/[H])=C(\[H])/[C@]([H])([C@@](C([H])([H])[H])([C@@]1([H])[C@@]([H])(C([H])([H])[C@@]2(C([H])([H])[H])[C@]3([H])C([H])([H])C([H])=C4[C@@]([H])(C([H])=C(C(=O)C4(C([H])([H])[H])C([H])([H])[H])O[C@@]5([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O5)O[H])O[H])O[H])[C@]3(C([H])([H])[H])C(=O)C([H])([H])[C@]12C([H])([H])[H])O[H])O[H])O[H])O[H]	0	FALSE	FALSE	36	0	12	null	11	5	null	null	null	52	O(C1=CC2C(=CCC3C2CCC4CCCC43)CC1)C5OCCCC5	"{[C]=[C]=2, *C(*)=O=1, [H]O[C]=8, *O[C]OC(=[C])C(*)=O=1}"	"{[C]=[C]=2, RC(R)=O=1, [H]O[C]=8, RO[C]OC(=[C])C(R)=O=1}"	-0.6230000000000090	0.38812900000001100	176.56300000000000	108.99082200000000	64.78117800000000	1450	0.23529411764705900	0.7777777777777780	8980.12	0	3	1.2430000000000000	280.0	214.44000000000000	0.316114625331475
isoscoparin		20013-23-4	C05990	no entry found	442611	18200	no entry found	LMPK12110738	C22H22O11	462.40434051676600	AFC001806	COc1cc(-c2cc(=O)c3c(O)c([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c(O)cc3o2)ccc1O	KOMUHHCFAXYRPO-UHFFFAOYSA-N	C([H])([H])([H])OC1=C(C([H])=C([H])C(=C1[H])C2=C([H])C(=O)C3=C(C(=C(C([H])=C3O2)O[H])[C@@]4([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O4)O[H])O[H])O[H])O[H])O[H]	0	FALSE	FALSE	22	0	11	null	5	4	null	null	null	36	O1c2ccc(cc2CC=C1c3ccccc3)C4OCCCC4	"{*o*=1, *O*=2, [H]O[c]=3, [c]=O=1, [H]O[C]=4}"	"{[C*]=O=1, [H]O[C*]=3, ROR=2, RO*R=1, [H]O[C]=4}"	-3.047300000000000	9.286037290000010	119.22960000000000	62.21144600000000	30.756554000000000	811	0.4	0.3181818181818180	2308.11	0	2	-0.7350000000000000	180.0	186.37	0.403296823076982
"(1S,2S,4R,6S,9R,10R,11R,14R,15R)-9-hydroxy-2,9,11,14,19,19-hexamethyl-6-(prop-1-en-2-yl)-17-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-5-oxapentacyclo[12.8.0.0²,¹¹.0⁴,¹⁰.0¹⁵,²⁰]docosa-16,20-diene-8,13,18-trione"									C36H50O11	658.77698417892	AFC001807	C=C(C)[C@@H]1CC(=O)[C@](C)(O)[C@H]2[C@@H](C[C@@]3(C)[C@@H]4CC=C5[C@@H](C=C(O[C@@H]6O[C@H](CO)[C@@H](O)[C@H](O)[C@H]6O)C(=O)C5(C)C)[C@]4(C)C(=O)C[C@]23C)O1	WXOQVIJCYNJZTP-UHFFFAOYSA-N	C([H])([H])=C(C([H])([H])[H])[C@]1([H])C([H])([H])C(=O)[C@@](C([H])([H])[H])([C@@]2([H])[C@@]([H])(C([H])([H])[C@@]3(C([H])([H])[H])[C@]4([H])C([H])([H])C([H])=C5[C@@]([H])(C([H])=C(C(=O)C5(C([H])([H])[H])C([H])([H])[H])O[C@@]6([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O6)O[H])O[H])O[H])[C@]4(C([H])([H])[H])C(=O)C([H])([H])[C@]23C([H])([H])[H])O1)O[H]	0	FALSE	FALSE	36	0	11	null	15	6	null	null	null	52	O(C1=CC2C(=CCC3C2CCC4C5CCCCOC5CC34)CC1)C6OCCCC6	"{[C]=[C]=2, *C(*)=O=2, *O*=1, [H]O[C]=5, *O[C]OC(=[C])C(*)=O=1}"	"{[C]=[C]=2, ROR=1, RC(R)=O=2, [H]O[C]=5, RO[C]OC(=[C])C(R)=O=1}"	0.4667999999999990	0.21790223999999900	170.7261	105.52165000000000	63.282350000000000	1329	0.29896907216494800	0.75	8242.11	0	2	1.436	280.0	180.05000000000000	0.27349284870979600
"(3E,6R)-6-[(1R,2R,3aS,3bS,4S,9aR,9bS,11aR)-2,4-dihydroxy-3a,6,6,9b,11a-pentamethyl-7,10-dioxo-8-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-1H,2H,3H,3bH,4H,9aH,11H-cyclopenta[a]phenanthren-1-yl]-6-hydroxy-2-methyl-5-oxohept-3-en-2-yl acetate"									C38H54O14	734.8284337705070	AFC001808	CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3[C@@H](O)C=C4[C@@H](C=C(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C	VJTYFWONTVLZJR-UHFFFAOYSA-N	C([H])([H])([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])/C(/[H])=C(\[H])/C(=O)[C@@](C([H])([H])[H])([C@@]1([H])[C@@]([H])(C([H])([H])[C@@]2(C([H])([H])[H])[C@]3([H])[C@]([H])(C([H])=C4[C@@]([H])(C([H])=C(C(=O)C4(C([H])([H])[H])C([H])([H])[H])O[C@@]5([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O5)O[H])O[H])O[H])[C@]3(C([H])([H])[H])C(=O)C([H])([H])[C@]12C([H])([H])[H])O[H])O[H])O[H]	0	FALSE	FALSE	38	0	14	null	11	5	null	null	null	56	O(C1=CC2C(=CCC3C2CCC4CCCC43)CC1)C5OCCCC5	"{[C]=[C]=1, *C(*)=O=1, *C(=O)[C]=[C]=1, *OC(*)=O=1, [H]O[C]=7, *O[C]OC(=[C])C(*)=O=1}"	"{[C]=[C]=1, RC(R)=O=1, RC(=O)[C]=[C]=1, [H]O[C]=7, RO[C]OC(=[C])C(R)=O=1, ROC(R)=O=1}"	-1.0314000000000000	1.0637859600000000	186.53630000000000	114.11482200000000	68.61317800000000	1711	0.22641509433962300	0.7368421052631580	9448.14	0	3	0.48299999999999900	300.0	237.58000000000000	0.3235236075032210
"5,7-dihydroxy-6-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]-2-(4-{[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}phenyl)chromen-4-one"	flavonoid LP;isosaponaretin;isovitexin 4'-O-glucoside;isovitexin 4'-beta-D-glucopyranoside		no entry found	no entry found	73981632	no entry found	no entry found	no entry found	C27H30O15	594.5191657415900	AFC001809	O=c1cc(-c2ccc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc2)oc2cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12	SFNFQCXADNWOCI-UHFFFAOYSA-N	C1([H])=C([H])C(=C([H])C([H])=C1C2=C([H])C(=O)C3=C(C(=C(C([H])=C3O2)O[H])[C@@]4([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O4)O[H])O[H])O[H])O[H])O[C@@]5([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O5)O[H])O[H])O[H]	0	FALSE	FALSE	27	0	15	null	6	5	null	null	null	46	O1c2ccc(cc2CC=C1c3ccc(OC4OCCCC4)cc3)C5OCCCC5	"{*o*=1, *O*=1, [H]O[c]=2, [c]=O=1, [H]O[C]=8, *O[C]O*=1}"	"{[C*]=O=1, ROR=1, [H]O[C*]=2, RO*R=1, RO[C]OR=1, [H]O[C]=8}"	-4.6396000000000000	21.525888160000000	145.28620000000000	79.55378999999990	41.41821	1414	0.4027777777777780	0.4444444444444440	4054.15	0	3	-2.0130000000000000	230.0	256.29000000000000	0.4313495688916940
benzyl β-D-glucoside	"2-(hydroxymethyl)-6-phenylmethoxyoxane-3,4,5-triol"	15548-45-5	no entry found	no entry found	4984739	no entry found	no entry found	no entry found	C13H18O6	270.2789297925240	AFC001810	OC[C@H]1O[C@@H](OCc2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O	GKHCBYYBLTXYEV-UHFFFAOYSA-N	C1([H])=C([H])C([H])=C(C([H])=C1[H])C([H])([H])O[C@@]2([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O2)O[H])O[H])O[H]	0	FALSE	FALSE	13	0	6	null	2	2	null	null	null	20	O(Cc1ccccc1)C2OCCCC2	"{[H]O[C]=4, *O[C]O*=1}"	"{RO[C]OR=1, [H]O[C]=4}"	-0.9877999999999990	0.9757488399999980	69.42580000000000	39.69427400000000	23.509726	314	0.3783783783783780	0.5384615384615380	1102.06	0	0	-0.5150000000000000	94.0	99.38000000000000	0.36792371823656200
"5,7-dihydroxy-2-(4-hydroxyphenyl)-8-[(4-hydroxyphenyl)methyl]-6-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one"	8-p-hydroxybenzylisovitexin		no entry found	no entry found	102446088	no entry found	no entry found	no entry found	C28H26O11	538.5005189127980	AFC001811	O=c1cc(-c2ccc(O)cc2)oc2c(Cc3ccc(O)cc3)c(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12	QSEKYEYPJACWFH-UHFFFAOYSA-N	C1([H])=C(C([H])=C([H])C(=C1[H])O[H])C([H])([H])C2=C3C(=C(C(=C2O[H])[C@@]4([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O4)O[H])O[H])O[H])O[H])C(=O)C([H])=C(C5=C([H])C([H])=C(C([H])=C5[H])O[H])O3	0	FALSE	FALSE	28	0	11	null	6	5	null	null	null	43	O1C(=CCc2cc(cc(c12)Cc3ccccc3)C4OCCCC4)c5ccccc5	"{*o*=1, *O*=1, [H]O[c]=4, [c]=O=1, [H]O[C]=4}"	"{[C*]=O=1, ROR=1, [H]O[C*]=4, RO*R=1, [H]O[C]=4}"	-1.6434000000000000	2.700763560000010	147.30820000000000	75.43861800000000	33.213382	962	0.4461538461538460	0.25	3279.11	0	3	-0.11800000000000000	214.0	197.37000000000000	0.3667581763857190
"5,7-dihydroxy-2-(4-hydroxyphenyl)-6-[(4-hydroxyphenyl)methyl]-8-[(2S,3R,4R,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]chromen-4-one"	8-p-hydroxybenzylisovitexin		no entry found	no entry found	102446088	no entry found	no entry found	no entry found	C28H26O11	538.5005189127980	AFC001812	O=c1cc(-c2ccc(O)cc2)oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c(Cc3ccc(O)cc3)c(O)c12	IFNYXORISMJQJH-UHFFFAOYSA-N	C1([H])=C(C([H])=C([H])C(=C1[H])O[H])C([H])([H])C2=C(C(=C3C(=C2O[H])C(=O)C([H])=C(C4=C([H])C([H])=C(C([H])=C4[H])O[H])O3)[C@@]5([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O5)O[H])O[H])O[H])O[H]	0	FALSE	FALSE	28	0	11	null	6	5	null	null	null	43	O1C(=CCc2cc(cc(c12)C3OCCCC3)Cc4ccccc4)c5ccccc5	"{*o*=1, *O*=1, [H]O[c]=4, [c]=O=1, [H]O[C]=4}"	"{[C*]=O=1, ROR=1, [H]O[C*]=4, RO*R=1, [H]O[C]=4}"	-1.6434000000000000	2.700763560000010	147.30820000000000	75.43861800000000	33.213382	973	0.4461538461538460	0.25	3279.11	0	3	-0.11800000000000000	214.0	197.37000000000000	0.3667581763857190
khekadaengoside K			no entry found	no entry found	57399249	68918	no entry found	no entry found	C30H42O10	562.6496378400170	AFC001813	CC(=O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C	ZRNZYSQTUUUEOQ-UHFFFAOYSA-N	C([H])([H])([H])C(=O)[C@@]1([H])[C@@]([H])(C([H])([H])[C@@]2(C([H])([H])[H])[C@]3([H])C([H])([H])C([H])=C4[C@@]([H])(C([H])=C(C(=O)C4(C([H])([H])[H])C([H])([H])[H])O[C@@]5([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O5)O[H])O[H])O[H])[C@]3(C([H])([H])[H])C(=O)C([H])([H])[C@]12C([H])([H])[H])O[H]	0	FALSE	FALSE	30	0	10	null	11	5	null	null	null	44	O(C1=CC2C(=CCC3C2CCC4CCCC43)CC1)C5OCCCC5	"{[C]=[C]=1, *C(*)=O=2, [H]O[C]=5, *O[C]OC(=[C])C(*)=O=1}"	"{[C]=[C]=1, RC(R)=O=2, [H]O[C]=5, RO[C]OC(=[C])C(R)=O=1}"	-0.6759000000000060	0.4568408100000080	143.96150000000000	88.82530599999990	52.62069400000000	995	0.2926829268292680	0.7666666666666670	5836.1	0	1	1.02	236.0	170.82	0.3038000090811560
khekadaengoside K			no entry found	no entry found	57399249	68918	no entry found	no entry found	C30H42O10	562.6496378400170	AFC001814	CC(=O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O[C@@H]5O[C@H](CO)[C@@H](O)[C@H](O)[C@H]5O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C	ZRNZYSQTUUUEOQ-UHFFFAOYSA-N	C([H])([H])([H])C(=O)[C@@]1([H])[C@@]([H])(C([H])([H])[C@@]2(C([H])([H])[H])[C@]3([H])C([H])([H])C([H])=C4[C@@]([H])(C([H])=C(C(=O)C4(C([H])([H])[H])C([H])([H])[H])O[C@@]5([H])[C@@]([H])([C@]([H])([C@@]([H])([C@@]([H])(C([H])([H])O[H])O5)O[H])O[H])O[H])[C@]3(C([H])([H])[H])C(=O)C([H])([H])[C@]12C([H])([H])[H])O[H]	0	FALSE	FALSE	30	0	10	null	11	5	null	null	null	44	O(C1=CC2C(=CCC3C2CCC4CCCC43)CC1)C5OCCCC5	"{[C]=[C]=1, *C(*)=O=2, [H]O[C]=5, *O[C]OC(=[C])C(*)=O=1}"	"{[C]=[C]=1, RC(R)=O=2, [H]O[C]=5, RO[C]OC(=[C])C(R)=O=1}"	-0.6759000000000060	0.4568408100000080	143.96150000000000	88.82530599999990	52.62069400000000	995	0.2926829268292680	0.7666666666666670	5836.1	0	1	1.02	236.0	170.82	0.3038000090811560
