Compound	IUPAC	Alternative_names	CAS_ID	KEGG_ID	HMDB	PubChem	ChEBI_ID	FooDB	LipidMaps	Molecular_formula	Molecular_weight	Source_databases	AFC_ID	canonical_SMILES
ammonium			14798-03-9	C01342	HMDB0041827	223	28938	FDB030676	no entry found			CuCyc	AFC000033	[NH4+]
anthranilate			118-92-3	C00108	HMDB0001123	227	30754	FDB000896	no entry found			CuCyc	AFC000034	C1=CC=C(C(=C1)C(=O)O)N
pentose			87-72-9	no entry found	no entry found	229	25901	FDB005965	no entry found			PMID_28049426	AFC000035	C1C(C(C(C(O1)O)O)O)O
arginine			7200-25-1	no entry found	no entry found	232	29016	FDB002257	no entry found			"FoodData_Central;phytochem.nal.usda;PMID_27130118;PMID_30451416;PMID_32431723;PMID_32538082;PMID_32679913;Erhirhie and Ekene 2013"	AFC000036	C(CC(C(=O)O)N)CN=C(N)N
asparagine			3130-87-8	C16438	no entry found	236	22653	no entry found	no entry found			"PMID_30451416;PMID_32431723"	AFC000037	C(C(C(=O)O)N)C(=O)N
beta-alanine			107-95-9	C00099	HMDB0000056	239	16958	FDB002253	no entry found			CuCyc	AFC000038	C(CN)C(=O)O
benzaldehyde			100-52-7	C00261	HMDB0006115	240	17169	FDB014661	no entry found			"CuCyc;phytochem.nal.usda;PMID_17002453;PMID_31743449;Liu et al 2018;COCONUT"	AFC000039	C1=CC=C(C=C1)C=O
benzoate			766-76-7	C00180	HMDB0001870	242	16150	FDB030689	no entry found			CuCyc	AFC000040	C1=CC=C(C=C1)C(=O)[O-]
benzyl alcohol		phenylmethanol	100-51-6	C03485	HMDB0003119	244	17987	FDB008745	no entry found			"CuCyc;phytochem.nal.usda;PMID_17002453;Condursoa et al. 2012;Yajima et al 1985;COCONUT"	AFC000041	C1=CC=C(C=C1)CO
betaine		glycine betaine	107-43-7	C00719	HMDB0000043	247	17750	FDB009020	no entry found			"CuCyc;FoodData_Central;PMID_30451416"	AFC000042	C[N+](C)(C)CC(=O)[O-]
betaine aldehyde			7418-61-3	C00576	HMDB0001252	249	15710	FDB022513	no entry found			CuCyc	AFC000043	C[N+](C)(C)CC=O
butanal		butyraldehyde	123-72-8	C01412	HMDB0003543	261	15743	FDB003378	no entry found			CuCyc	AFC000044	CCCC=O
1-butanol		"butan-1-ol;n-butanol"	71-36-3	C06142	HMDB0004327	263	28885	FDB031032	no entry found			"CuCyc;phytochem.nal.usda;PMID_17002453;PMID_31743449;Condursoa et al. 2012;Liu et al 2018;Yajima et al 1985;COCONUT"	AFC000045	CCCCO
Ca2+		calcium	14127-61-8	C00076	HMDB0000464	271	29108	FDB003513	no entry found			"CuCyc;FoodData_Central;phytochem.nal.usda;Erhirhie and Ekene 2013"	AFC000046	[Ca+2]
cadaverine			462-94-2	C01672	HMDB0002322	273	18127	FDB001493	no entry found			CuCyc	AFC000047	C(CCN)CCN
carbamate			302-11-4	C01563	HMDB0003551	276	13941	FDB030713	no entry found			CuCyc	AFC000048	C(=O)(N)[O-]
carbamoyl-phosphate			590-55-6	C00169	HMDB0001096	278	17672	FDB022424	no entry found			CuCyc	AFC000049	C(=O)(N)OP(=O)(O)O
carbon dioxide		CO2	124-38-9	C00011	HMDB0001967	280	16526	FDB014084	no entry found	CO2	44.01	CuCyc	AFC000050	C(=O)=O
carbon monoxide			630-08-0	C00237	HMDB0001361	281	17245	FDB022578	no entry found	CO	28.01	CuCyc	AFC000051	[C-]#[O+]
formate			71-47-6	C00058	HMDB0000142	283	15740	FDB030863	no entry found			"CuCyc;PMID_30451416"	AFC000052	C(=O)[O-]
formic acid			64-18-6	C00058	HMDB0000142	284	30751	FDB030863	no entry found			PMID_32679913	AFC000053	C(=O)O
catechol			120-80-9	C00090	HMDB0000957	289	18135	FDB001512	no entry found			CuCyc	AFC000054	C1=CC=C(C(=C1)O)O
choline		total choline	62-49-7	C00114	HMDB0000097	305	15354	FDB000710	no entry found			"CuCyc;FoodData_Central;PMID_30451416"	AFC000055	C[N+](C)(C)CCO
citrate		citric acid	77-92-9	C00158	HMDB0000094	311	30769	FDB012586	no entry found	C6H8O7	192.12	"CuCyc;PMID_16881688;PMID_27130118;PMID_31934503;PMID_32679913"	AFC000056	C(C(=O)O)C(CC(=O)O)(C(=O)O)O
chloride			16887-00-6	C00698	HMDB0000492	312	17996	FDB006557	no entry found			CuCyc	AFC000057	[Cl-]
coproporphyrinogen III			2624-63-7	C03263	HMDB0001261	321	15439	FDB022518	no entry found			CuCyc	AFC000058	CC1=C2CC3=C(C(=C(N3)CC4=C(C(=C(N4)CC5=C(C(=C(N5)CC(=C1CCC(=O)O)N2)C)CCC(=O)O)C)CCC(=O)O)CCC(=O)O)C
coumarin		"2H-chromen-2-one;2H-1-benzopyran-2-one;1,2-benzopyrone"	91-64-5	C05851	HMDB0001218	323	28794	FDB011938	no entry found			"Abu-Reidah et al 2013;PMID_32538082"	AFC000059	C1=CC=C2C(=C1)C=CC(=O)O2
gallic acid		3,4,5-trihydroxybenzoic acid	149-91-7	C01424	HMDB0005807	370	30778	FDB000662	no entry found			"PMC4519476;PMID_26243925;PMID_32679913;Fadimu et al. 2020"	AFC000060	C1=C(C=C(C(=C1O)O)O)C(=O)O
octanoic acid		"caprylic acid;n-octanoic acid;n-caprylic acid"	124-07-2	C06423	HMDB0000482	379	28837	FDB003336	LMFA01010008	C8H16O2	144.21	"phytochem.nal.usda;PMID_31178462"	AFC000061	CCCCCCCC(=O)O
ornithine		"2,5-diaminopentanoic acid;2,5-diaminovaleric acid"	70-26-8	C01602	HMDB0000214	389	18257	FDB003654	LMFA01100057			"PMID_31934503;PMID_32431723"	AFC000062	C(CC(C(=O)O)N)CN
indole-3-acetamide			879-37-8	C02693	HMDB0029739	397	16031	FDB000937	no entry found			CuCyc	AFC000063	C1=CC=C2C(=C1)C(=CN2)CC(=O)N
hydrogen sulfide			04/06/7783	C00283	HMDB0003276	402	16136	FDB030910	no entry found	H2S	34.08	CuCyc	AFC000064	S
dihydrolipoate			462-20-4	C02147	HMDB0012210	421	18047	FDB028855	no entry found			CuCyc	AFC000065	C(CCC(=O)O)CC(CCS)S
1,3-diaminopropane		"propane-1,3-diamine;trimethylenediamine"	109-76-2	C00986	HMDB0000002	428	15725	FDB031131	no entry found			CuCyc	AFC000066	C(CN)CN
octanal		"octan-1-al;caprylaldehyde;caprylic aldehyde"	124-13-0	C01545	HMDB0001140	454	17935	FDB003339	LMFA06000028			"CuCyc;phytochem.nal.usda;PMID_17002453;PMID_31743449;Liu et al 2018;Yajima et al 1985;COCONUT"	AFC000067	CCCCCCCC=O
hippuric acid			495-69-2	C01586	HMDB0000714	464	18089	FDB001819	no entry found			PMID_32538082	AFC000068	C1=CC=C(C=C1)C(=O)NCC(=O)O
2-aminoadipic acid		"2-aminohexanedioic acid;L-homoglutamic acid"	542-32-5	C00956	HMDB0000510	469	37024	FDB021812	LMFA01170098			PMID_31934503	AFC000069	C(CC(C(=O)O)N)CC(=O)O
2-oxo-4-methylthiobutanoate		"4-(methylsulfanyl)-2-oxobutanoic acid;4-methylthio-2-oxobutanoic acid;2-keto-4-methylthiobutyric acid"	583-92-6	C01180	HMDB0001553	473	33574	FDB030353	no entry found			CuCyc	AFC000070	CSCCC(=O)C(=O)O
N(1)-acetylspermidine			14278-49-0	C00612	HMDB0001276	496	17927	FDB022530	no entry found			CuCyc	AFC000071	CC(=O)NCCCNCCCCN
4-guanidinobutyrate		4-guanidinobutyric acid	463-00-3	no entry found	HMDB0003464	500	15728	FDB002246	no entry found			"CuCyc;PMID_31934503"	AFC000072	C(CC(=O)O)CN=C(N)N
N-carbamoylputrescine			6851-51-0	C00436	HMDB0033458	502	17902	FDB011499	no entry found			CuCyc	AFC000073	C(CCNC(=O)N)CN
malic acid		"malate;2-hydroxybutanedioic acid;2-hydroxysuccinic acid"	6915-15-7	C00711	HMDB0000744	525	6650	FDB008114	no entry found			"PMID_16881688;PMID_18588311;PMID_20566864;PMID_21384347;PMID_30451416;PMID_32679913"	AFC000074	C(C(C(=O)O)O)C(=O)O
propionaldehyde		propanal	123-38-6	C00479	HMDB0003366	527	17153	FDB012083	no entry found			"CuCyc;Guler et al. 2014"	AFC000075	CCC=O
2-phosphoglycolate			13147-57-4	C00988	HMDB0000816	529	17150	FDB030360	no entry found			CuCyc	AFC000076	C(C(=O)O)OP(=O)(O)O
1-aminocyclopropane-1-carboxylate		1-aminocyclopropanecarboxylic acid	22059-21-8	C01234	HMDB0036458	535	18053	FDB030242	no entry found			CuCyc	AFC000077	C1CC1(C(=O)O)N
5-(methylthio)-2,3-dioxopentyl phosphate			115974-73-7	C15650	HMDB0059620	561	50604	FDB030557	no entry found			CuCyc	AFC000078	CSCCC(=O)C(=O)COP(=O)(O)O
cysteine			3374-22-9	C00736	no entry found	594	15356	no entry found	no entry found			"phytochem.nal.usda;PMID_7608200;PMID_28049426;PMID_31934503"	AFC000079	C(C(C(=O)O)N)S
cytosine			71-30-7	C00380	HMDB0000630	597	16040	FDB022151	no entry found			CuCyc	AFC000080	C1=C(NC(=O)N=C1)N
alanine			302-72-7	C01401	HMDB0062251	602	16449	FDB000557	no entry found			"FoodData_Central;phytochem.nal.usda;PMID_28049426;PMID_30451416;PMID_31263475;PMID_32679913"	AFC000081	CC(C(=O)O)N
proline			609-36-9	C16435	no entry found	614	26271	FDB030009	no entry found			"FoodData_Central;phytochem.nal.usda;PMID_32431723"	AFC000082	C1CC(NC1)C(=O)O
serine			302-84-1	C00716	HMDB0062263	617	17822	no entry found	no entry found			"FoodData_Central;phytochem.nal.usda;PMID_7608200;PMID_20566864;PMID_28049426;PMID_32431723"	AFC000083	C(C(C(=O)O)N)O
desthiobiotin		dethiobiotin	15720-25-9	C01909	HMDB0003581	643	16691	FDB023201	no entry found			CuCyc	AFC000084	CC1C(NC(=O)N1)CCCCCC(=O)O
dimethylallyl diphosphate			358-72-5	C00235	HMDB0001120	647	16057	FDB022434	LMPR01010001			"CuCyc;PMID_31263475"	AFC000085	CC(=CCOP(=O)(O)OP(=O)(O)O)C
5,6-dihydrouracil			504-07-4	C00429	HMDB0000076	649	15901	FDB030556	no entry found			CuCyc	AFC000086	C1CNC(=O)NC1=O
2,3-butanedione		diacetyl	431-03-8	C00741	HMDB0003407	650	16583	FDB011930	LMFA12000012			"CuCyc;PMID_21384347;Kim et al 2009"	AFC000087	CC(=O)C(=O)C
diethyl hydrogen phosphate		diethylphosphate	598-02-7	C06608	HMDB0012209	654	27708	FDB028854	no entry found	C4H11O4P	154.1	PMID_31934503	AFC000088	CCOP(=O)(O)OCC
dihydrolipoamide			3884-47-7	C00579	HMDB0000985	663	17694	FDB022352	LMFA08010019			CuCyc	AFC000089	C(CCC(=O)N)CC(CCS)S
dihydroxyacetone phosphate			57-04-5	C00111	HMDB0001473	668	16108	FDB001618	no entry found			CuCyc	AFC000090	C(C(=O)COP(=O)(O)O)O
1,4-dihydroxy-2-naphthoate			31519-22-9	C03657	no entry found	671	18094	FDB030191	no entry found			CuCyc	AFC000091	C1=CC=C2C(=C1)C(=CC(=C2O)C(=O)O)O
dopamine			51-61-6	C03758	HMDB0000073	681	18243	FDB012163	no entry found			CuCyc	AFC000092	C1=CC(=C(C=C1CCN)O)O
ethanolamine			141-43-5	C00189	HMDB0000149	700	16000	FDB030851	no entry found			"CuCyc;PMID_30451416"	AFC000093	C(CO)N
ethanol		ethyl alcohol	64-17-5	C00469	HMDB0000108	702	16236	FDB000753	no entry found			"CuCyc;phytochem.nal.usda;PMID_21384347;PMID_31263475;Condursoa et al. 2012;Guler et al. 2014;Kim et al 2009;Yajima et al 1985;COCONUT"	AFC000094	CCO
formaldehyde			50-00-0	C00067	HMDB0001426	712	16842	FDB009445	no entry found			CuCyc	AFC000095	C=O
formamide			75-12-7	C00488	HMDB0001536	713	16397	FDB022677	no entry found			CuCyc	AFC000096	C(=O)N
glycine			56-40-6	C00037	HMDB0000123	750	15428	FDB000484	no entry found			"CuCyc;FoodData_Central;phytochem.nal.usda;PMID_28049426;PMID_32431723"	AFC000097	C(C(=O)O)N
glycerol			56-81-5	C00116	HMDB0000131	753	17754	FDB000756	no entry found			CuCyc	AFC000098	C(C(CO)O)O
glycolaldehyde		2-hydroxyethanal	141-46-8	C00266	HMDB0003344	756	17071	FDB030893	no entry found			CuCyc	AFC000099	C(C=O)O
glycolate			79-14-1	C00160	HMDB0000115	757	17497	FDB003298	no entry found			CuCyc	AFC000100	C(C(=O)O)O
carbonic acid			463-79-6	C01353	HMDB0003538	767	28976	FDB023191	no entry found	CH2O3	62.03	CuCyc	AFC000101	C(=O)(O)O
hydrogen cyanide		"hydrocyanic acid;formonitrile;prussic acid"	74-90-8	C01326	HMDB0060292	768	18407	FDB014486	no entry found	HCN	27.025	"CuCyc;Jacob A. G. et al. 2015"	AFC000102	C#N
bicarbonate			71-52-3	C00288	no entry found	769	17544	FDB022134	no entry found			CuCyc	AFC000103	C(=O)(O)[O-]
histidinol			501-28-0	C00860	HMDB0003431	776	16255	FDB023173	no entry found	C6H11N3O	141.17	CuCyc	AFC000104	C1=C(NC=N1)CC(CO)N
hydroxymethylpyrimidine		"4-amino-5-hydroxymethyl-2-methylpyrimidine;toxopyrimidine"	73-67-6	C01279	no entry found	777	16892	FDB030912	no entry found			CuCyc	AFC000105	CC1=NC=C(C(=N1)N)CO
homogentisate			451-13-8	C00544	HMDB0000130	780	44747	FDB030907	no entry found			CuCyc	AFC000106	C1=CC(=C(C=C1O)CC(=O)O)O
hydrogen		"H2;dihydrogen"	1333-74-0	C00282	HMDB0001362	783	18276	FDB016247	no entry found			CuCyc	AFC000107	[HH]
hydrogen peroxide		"perhydrol;oxydol"	7722-84-1	C00027	HMDB0003125	784	16240	FDB014562	no entry found	H2O2	34.015	CuCyc	AFC000108	OO
hydroxymethylbilane			73023-76-4	C01024	HMDB0001137	788	16645	FDB022446	no entry found	C40H46N4O17	854.8	CuCyc	AFC000109	C1=C(C(=C(N1)CC2=C(C(=C(N2)CC3=C(C(=C(N3)CC4=C(C(=C(N4)CO)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O)CC(=O)O)CCC(=O)O
isoleucine			73-32-5	C16434	no entry found	791	38264	FDB012397	no entry found			"FoodData_Central;phytochem.nal.usda;PMID_30451416;PMID_31263475;PMID_32679913;Erhirhie and Ekene 2013"	AFC000110	CCC(C)C(C(=O)O)N
3-(imidazol-4-yl)-2-oxopropyl dihydrogen phosphate		imidazole acetol-phosphate	99979-59-6	C01267	HMDB0012236	792	16426	FDB028879	no entry found	C6H9N2O5P	220.12	CuCyc	AFC000111	C1=C(NC=N1)CC(=O)COP(=O)(O)O
iminoaspartic acid		"alpha-iminosuccinate;2-iminobutanedioic acid"	79067-61-1	C05840	HMDB0001131	796	50616	FDB022443	LMFA01170110			CuCyc	AFC000112	C(C(=N)C(=O)O)C(=O)O
indole			120-72-9	C00463	HMDB0000738	798	16881	FDB012008	no entry found			CuCyc	AFC000113	C1=CC=C2C(=C1)C=CN2
indole acetaldehyde			2591-98-2	C00637	no entry found	800	18086	FDB013950	no entry found			CuCyc	AFC000114	C1=CC=C2C(=C1)C(=CN2)CC=O
indole-3-acetate			87-51-4	C00954	HMDB0000197	802	16411	FDB030920	no entry found			CuCyc	AFC000115	C1=CC=C2C(=C1)C(=CN2)CC(=O)O
indole-3-pyruvic acid		indole-3-pyruvate	392-12-1	C00331	no entry found	803	29750	FDB030941	no entry found			CuCyc	AFC000116	C1=CC=C2C(=C1)C(=CN2)CC(=O)C(=O)O
L-aspartyl-4-phosphate			22138-53-0	C03082	HMDB0012250	832	15836	FDB028892	no entry found			CuCyc	AFC000117	C(C(C(=O)O)N)C(=O)OP(=O)(O)O
leucine			328-39-2	C16439	HMDB0062203	857	25017	FDB000899	no entry found			"FoodData_Central;phytochem.nal.usda;PMID_30451416;PMID_31263475;PMID_32679913;Erhirhie and Ekene 2013"	AFC000118	CC(C)CC(C(=O)O)N
lipoamide			940-69-2	C00248	HMDB0000962	863	17460	FDB022340	LMFA08010006			CuCyc	AFC000119	C1CSSC1CCCCC(=O)N
lysine			70-54-2	C16440	HMDB0142894	866	25094	no entry found	no entry found			"FoodData_Central;phytochem.nal.usda;PMID_27130118;PMID_28049426;PMID_30451416"	AFC000120	C(CCN)CC(C(=O)O)N
3-oxopropanoic acid		malonate semialdehyde	926-61-4	C00222	HMDB0011111	868	17960	FDB027893	no entry found			CuCyc	AFC000121	C(C=O)C(=O)O
tartaric acid			133-37-9	C00898	HMDB0000956	875	15674	FDB001112	no entry found			"PMID_30451416;PMID_32679913"	AFC000122	C(C(C(=O)O)O)(C(=O)O)O
methionine			59-51-8	C01733	HMDB0033951	876	16811	FDB012166	no entry found			"FoodData_Central;phytochem.nal.usda;PMID_28049426"	AFC000123	CSCCC(C(=O)O)N
methanethiol			74-93-1	C00409	HMDB0003227	878	16007	FDB011886	no entry found	CH4S	48.11	CuCyc	AFC000124	CS
methylglyoxal			78-98-8	C00546	HMDB0001167	880	17158	FDB031000	no entry found			CuCyc	AFC000125	CC(=O)C=O
methanol			67-56-1	C00132	HMDB0001875	887	17790	FDB008124	no entry found	CH4O	32.04	CuCyc	AFC000126	CO
magnesium ion		"Mg2+;magnesium"	22537-22-0	C00305	HMDB0000547	888	18420	FDB031004	no entry found			"CuCyc;FoodData_Central;phytochem.nal.usda;Erhirhie and Ekene 2013"	AFC000127	[Mg+2]
myo-inositol		inositol	87-89-8	C00137	HMDB0000211	892	17268	FDB010547	no entry found			CuCyc	AFC000128	C1(C(C(C(C(C1O)O)O)O)O)O
N1-acetylspermine			25593-72-0	C02567	HMDB0001186	916	17312	FDB022474	no entry found			CuCyc	AFC000129	CC(=O)NCCCNCCCCNCCCN
sodium ion		Na+	17341-25-2	C01330	HMDB0000588	923	29101	FDB003523	no entry found	Na+	22.99	"CuCyc;FoodData_Central;phytochem.nal.usda;Erhirhie and Ekene 2013"	AFC000130	[Na+]
naringenin		"5,7-dihydroxy-2-(4-hydroxyphenyl)chroman-4-one;(2S)-naringenin;4',5,7-trihydroxyflavanone"	480-41-1	C00509	HMDB0128074	932	50202	FDB016687	LMPK12140001			"CuCyc;PMID_31263475"	AFC000131	C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O
nicotinamide			98-92-0	C00153	HMDB0001406	936	17154	FDB012485	no entry found			CuCyc	AFC000132	C1=CC(=CN=C1)C(=O)N
nicotinate		vitamin B3	59-67-6	C00253	HMDB0001488	937	32544	FDB031056	no entry found			CuCyc	AFC000133	C1=CC(=CN=C1)C(=O)[O-]
nicotinic acid		niacin	59-67-6	C00253	HMDB0001488	938	15940	FDB001014	no entry found			"FoodData_Central;phytochem.nal.usda"	AFC000134	C1=CC(=CN=C1)C(=O)O
nitrate			14797-55-8	C00244	HMDB0002878	943	17632	FDB003811	no entry found	NO3-	62.005	CuCyc	AFC000135	[N+](=O)([O-])[O-]
nitrite			14797-65-0	C00088	HMDB0002786	946	16301	FDB023064	no entry found	NO2-	46.006	CuCyc	AFC000136	N(=O)[O-]
nitrogen		dinitrogen	7727-37-9	C00697	HMDB0001371	947	17997	FDB013398	no entry found	N2	28.014	CuCyc	AFC000137	N#N
nitrous oxide		diazooxidane	10024-97-2	C00887	HMDB0035807	948	17045	FDB014561	no entry found			CuCyc	AFC000138	[N-]=[N+]=O
N,N-dimethylaniline			121-69-7	C02846	HMDB0001020	949	16269	FDB005128	no entry found			CuCyc	AFC000139	CN(C)C1=CC=CC=C1
N,N-dimethylaniline N-oxide			874-52-2	C01183	HMDB0001466	950	17735	FDB022640	no entry found			CuCyc	AFC000140	C[N+](C)(C1=CC=CC=C1)[O-]
2-succinylbenzoate		O-succinylbenzoate	27415-09-4	C02730	no entry found	955	44788	FDB030362	no entry found			CuCyc	AFC000141	C1=CC=C(C(=C1)C(=O)CCC(=O)O)C(=O)O
1-octanol		octan-1-ol	111-87-5	C00756	HMDB0001183	957	16188	FDB012583	LMFA05000130			"phytochem.nal.usda;PMID_17002453;PMID_31743449;Condursoa et al. 2012;Kim et al 2009;Liu et al 2018;Yajima et al 1985;COCONUT"	AFC000142	CCCCCCCCO
hydroxide	hydroxide	OH-	14280-30-9	C01328	HMDB0001039	961	16234	FDB022386	no entry found			CuCyc	AFC000143	[OH-]
water		"H2O;dihydrogen oxide"	7732-18-5	C00001	HMDB0002111	962	15377	FDB030900	no entry found	H2O	18.015	"CuCyc;FoodData_Central;phytochem.nal.usda"	AFC000144	O
hydroxypyruvate			1113-60-6	C00168	HMDB0001352	964	30841	FDB030913	no entry found			CuCyc	AFC000145	C(C(=O)C(=O)O)O
oxalacetic acid		"oxaloacetic acid;oxaloacetate"	328-42-7	C00036	HMDB0000223	970	30744	FDB031075	no entry found			"CuCyc;PMID_30451416"	AFC000146	C(C(=O)C(=O)O)C(=O)O
oxalic acid			144-62-7	C00209	HMDB0002329	971	16995	FDB003357	no entry found			PMID_16881688	AFC000147	C(=O)(C(=O)O)O
oxalosuccinic acid		oxalosuccinate	1948-82-9	C05379	HMDB0003974	972	7815	FDB023277	no entry found			CuCyc	AFC000148	C(C(C(=O)C(=O)O)C(=O)O)C(=O)O
oxygen			7782-44-7	C00007	HMDB0001377	977	15379	FDB022589	no entry found			CuCyc	AFC000149	O=O
4-hydroxyphenylpyruvate			156-39-8	C01179	HMDB0000707	979	15999	FDB030506	no entry found			CuCyc	AFC000150	C1=CC(=CC=C1CC(=O)C(=O)O)O
